date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:18	55618/55618	---M-Z	200	added ('OK')	text/html	etag:%22d942-5d200af1b3c35-gzip%22	https://themesbrand.com/minia/layouts/apps-invoices-detail.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/apps-invoices-detail.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:18	70911/70911	---M-Z	200	added ('OK')	text/html	etag:%22114ff-5d200af1b3c35-gzip%22	https://themesbrand.com/minia/layouts/apps-contacts-grid.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/apps-contacts-grid.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:18	81366/81366	---M-Z	200	added ('OK')	text/html	etag:%2213dd6-5d200af1b3c35-gzip%22	https://themesbrand.com/minia/layouts/apps-contacts-list.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/apps-contacts-list.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:18	17534/17534	---M-Z	200	added ('OK')	text/html	etag:%22447e-5c67448881df2-gzip%22	https://themesbrand.com/minia/layouts/auth-login.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/auth-login.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:19	17017/17017	---M-Z	200	added ('OK')	text/html	etag:%224279-5c67448881df2-gzip%22	https://themesbrand.com/minia/layouts/auth-register.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/auth-register.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:19	13493/13493	---M-Z	200	added ('OK')	text/html	etag:%2234b5-5c67448881df2-gzip%22	https://themesbrand.com/minia/layouts/auth-recoverpw.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/auth-recoverpw.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:19	13030/13030	---M-Z	200	added ('OK')	text/html	etag:%2232e6-5c4f506819cf6-gzip%22	https://themesbrand.com/minia/layouts/auth-confirm-mail.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/auth-confirm-mail.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:20	13315/13315	---M-Z	200	added ('OK')	text/html	etag:%223403-5c67448881df2-gzip%22	https://themesbrand.com/minia/layouts/auth-email-verification.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/auth-email-verification.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:20	17367/17367	---M-Z	200	added ('OK')	text/html	etag:%2243d7-5d200af1c45db-gzip%22	https://themesbrand.com/minia/layouts/auth-two-step-verification.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/auth-two-step-verification.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:20	47581/47581	---M-Z	200	added ('OK')	text/html	etag:%22b9dd-5d200af1cc2de-gzip%22	https://themesbrand.com/minia/layouts/pages-starter.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-starter.html	(from https://themesbrand.com/minia/layouts/index.html)
